Student_ID,Student_Name,Gender,Age,Branch,CGPA,Attendance_Percentage,Technical_Skills,Internships,Projects,Certifications,Aptitude_Score,Communication_Score,Placement_Status,Company,Salary_Package_LPA
STU001,Ishaan Nair,Male,24,Computer Science Engineering,8.15,85.8,2,1,7,4,37.5,82.6,Placed,Cognizant,12.69
STU002,Shreya Reddy,Female,23,Mechanical Engineering,8.51,68.9,5,0,5,4,100.0,75.8,Placed,HCLTech,9.62
STU003,Nisha Malhotra,Female,25,Electronics & Communication,7.94,81.3,4,2,2,0,45.3,97.1,Placed,Cognizant,6.43
STU004,Riya Reddy,Female,21,Artificial Intelligence & Machine Learning,8.73,75.0,6,2,2,3,69.4,53.6,Not Placed,Not Applicable,0.0
STU005,Aryan Pandey,Male,25,Artificial Intelligence & Machine Learning,7.82,68.1,8,1,3,2,58.6,55.2,Placed,Capgemini,9.05
STU006,Aarav Malhotra,Male,24,Mechanical Engineering,8.26,88.3,9,0,6,6,65.3,65.9,Not Placed,Not Applicable,0.0
STU007,Arjun Dwivedi,Male,23,Information Technology,8.34,78.5,6,1,3,2,59.8,54.1,Not Placed,Not Applicable,0.0
STU008,Tanvi Singh,Female,22,Electronics & Communication,7.18,75.1,2,2,2,2,79.4,73.1,Placed,Cognizant,7.22
STU009,Ananya Rao,Female,24,Computer Science Engineering,8.13,69.7,6,3,3,3,78.9,64.2,Placed,Infosys,12.68
STU010,Nisha Joshi,Female,23,Mechanical Engineering,6.46,67.7,6,2,6,1,64.1,57.7,Not Placed,Not Applicable,0.0
STU011,Yash Dwivedi,Male,25,Electronics & Communication,7.75,100.0,7,0,1,1,45.7,81.3,Not Placed,Not Applicable,0.0
STU012,Aditi Reddy,Female,20,Civil Engineering,7.98,84.0,5,1,2,3,51.8,37.3,Not Placed,Not Applicable,0.0
STU013,Kavya Nair,Female,20,Computer Science Engineering,8.45,66.9,6,0,5,2,33.6,73.1,Not Placed,Not Applicable,0.0
STU014,Harsh Bhatt,Male,21,Electronics & Communication,8.22,83.5,4,0,4,2,56.0,56.7,Not Placed,Not Applicable,0.0
STU015,Rohan Gupta,Male,23,Electronics & Communication,8.46,92.7,5,2,2,2,30.2,77.3,Placed,Infosys,10.89
STU016,Harsh Bhatt,Male,20,Artificial Intelligence & Machine Learning,7.3,82.0,7,2,2,0,65.9,80.8,Not Placed,Not Applicable,0.0
STU017,Aryan Patel,Male,22,Information Technology,7.05,96.5,1,0,3,3,67.3,30.9,Placed,Tech Mahindra,6.49
STU018,Vivaan Mehta,Male,23,Computer Science Engineering,7.13,61.5,5,3,3,5,80.1,61.8,Not Placed,Not Applicable,0.0
STU019,Manav Verma,Male,22,Mechanical Engineering,7.67,56.1,7,0,3,0,40.0,65.9,Not Placed,Not Applicable,0.0
STU020,Nikhil Iyer,Male,22,Information Technology,5.59,83.1,9,2,6,3,41.3,29.6,Placed,HCLTech,9.8
STU021,Pooja Mishra,Female,20,Computer Science Engineering,8.73,83.3,5,0,0,2,89.4,68.4,Placed,Accenture,11.73
STU022,Krishna Tripathi,Male,23,Electronics & Communication,7.44,50.0,8,2,4,1,37.4,57.1,Placed,IBM,9.56
STU023,Reyansh Dwivedi,Male,25,Information Technology,6.98,72.5,9,2,1,1,98.9,46.9,Placed,Accenture,14.51
STU024,Aarav Bansal,Male,24,Computer Science Engineering,5.0,67.9,5,3,4,2,45.4,55.2,Placed,HCLTech,8.3
STU025,Aryan Rao,Male,20,Civil Engineering,7.36,63.3,4,0,1,1,45.5,52.7,Not Placed,Not Applicable,0.0
STU026,Simran Dwivedi,Female,20,Civil Engineering,7.2,67.9,5,0,1,4,77.2,56.4,Not Placed,Not Applicable,0.0
STU027,Nikhil Mehta,Male,25,Information Technology,6.5,87.1,5,3,3,2,71.9,67.8,Not Placed,Not Applicable,0.0
STU028,Nikhil Tripathi,Male,23,Computer Science Engineering,6.73,67.8,8,2,2,7,91.5,79.7,Not Placed,Not Applicable,0.0
